Vehicle,OverallDeathRate,Lcl,Ucl,OtherDriverDeathRate,OdLcl,OdUcl,MultiVehicleDeathRate,SingleVehicleDeathRate,RolloverDeathRate,ModelYearSpan,RegistrationYears
Ford F-150 SuperCab 4WD,29,3,55,37,7,66,,,,2019-20,136407
Ford F-150 SuperCrew 2WD,30,5,55,56,25,86,,,,2019-20,219880
Toyota Tundra Double Cab short bed 4WD,12,0,28,25,0,50,,,,2018-20,134250
Ram 1500 Classic Crew Cab short bed 4WD,51,1,100,83,30,135,,,,2019-20,100537
Chevrolet Silverado 1500 Extended Cab 4WD,14,0,31,41,12,70,,,,2019-20,163091
Ram 1500 Crew Cab short bed 4WD,35,20,51,54,37,71,,,,2019-20,653913
Chevrolet Silverado 1500 Crew Cab 2WD,33,8,58,35,9,62,,,,2019-20,166199
GMC Sierra 1500 Crew Cab 4WD,24,9,38,54,29,78,,,,2019-20,334415
Ford F-150 SuperCrew 4WD,30,20,41,71,55,87,,,,2019-20,1011699
Ram 1500 Quad Cab 4WD,31,0,62,73,24,122,,,,2019-20,102175
Ram 1500 Classic Quad Cab 4WD,23,0,49,49,9,88,,,,2019-20,102756
Ram 1500 Crew Cab short bed 2WD,28,0,63,104,49,159,,,,2019-20,126116
Toyota Tundra Crew Max 4WD,34,15,52,50,29,71,,,,2018-20,383730
Chevrolet Silverado 1500 Crew Cab 4WD,25,14,37,56,38,73,,,,2019-20,621948
GMC Yukon 2WD,24,0,55,58,13,104,,,,2017-20,144410
GMC Yukon 4WD,22,4,40,50,22,77,,,,2017-20,299875
Dodge Durango 2WD,40,5,76,88,44,132,,,,2017-20,204631
Chevrolet Tahoe 4WD,16,3,28,42,22,61,,,,2017-20,549799
Dodge Durango 4WD,24,8,39,63,38,87,,,,2017-20,463933
Chevrolet Tahoe 2WD,9,0,17,50,24,76,,,,2017-20,369487
Cadillac Escalade 4WD,26,3,48,49,8,90,,,,2017-20,153998
Dodge Charger HEMI 2WD,118,72,164,164,115,213,,,,2017-20,244988
Chrysler 300 4WD,100,37,164,82,28,136,,,,2017-20,117164
Chevrolet Impala,80,55,105,77,55,100,,,,2017-20,622686
Dodge Charger 4WD,32,0,67,52,11,94,,,,2017-20,135703
Dodge Challenger 2WD,154,116,192,91,65,118,,,,2017-20,460205
Dodge Charger 2WD,91,56,126,105,72,137,,,,2017-20,372915
Chrysler 300 2WD,61,30,92,78,39,117,,,,2017-20,239210
Genesis G80,30,0,69,49,8,90,,,,2017-20,115322
Mercedes-Benz E-Class sedan 4WD,0,0,22,10,0,24,,,,2017-20,165231
Mercedes-Benz E-Class sedan 2WD,27,5,48,22,0,46,,,,2017-20,177688
Tesla Model S 4WD,17,0,33,38,8,67,,,,2017-20,188773
Chevrolet Camaro coupe,110,76,145,88,58,117,,,,2017-20,411837
Chevrolet Camaro convertible,113,34,191,69,10,127,,,,2017-20,100610
Chevrolet Colorado Crew Cab 4WD,21,10,32,41,23,58,,,,2017-20,534842
Toyota Tacoma Double Cab long bed 4WD,6,0,18,45,11,78,,,,2018-20,130814
Toyota Tacoma Double Cab short bed 4WD,24,13,35,24,11,36,,,,2018-20,620373
Chevrolet Colorado Crew Cab 2WD,36,10,62,63,30,96,,,,2017-20,262403
GMC Canyon Crew Cab 4WD,5,0,14,34,5,62,,,,2017-20,167686
Jeep Gladiator 4WD,15,0,37,93,32,154,,,,2020,103047
Chevrolet Colorado Extended Cab 2WD,34,8,59,45,12,77,,,,2017-20,162569
Nissan Frontier King Cab 2WD,40,12,68,50,13,87,,,,2017-20,157845
Ford Ranger Crew Cab 4WD,14,0,31,43,9,77,,,,2019-20,165078
Toyota Tacoma Double Cab short bed 2WD,27,8,46,64,37,91,,,,2018-20,308613
Nissan Frontier Crew Cab short bed 4WD,56,28,85,51,24,78,,,,2017-20,257137
Nissan Frontier Crew Cab short bed 2WD,58,27,88,65,34,97,,,,2017-20,238690
Kia Soul,63,6,120,68,11,125,,,,2020,111248
Subaru XV Crosstrek,24,11,37,28,15,40,,,,2018-20,816413
Subaru Impreza wagon,23,8,39,31,13,49,,,,2017-20,471154
Jeep Renegade 2WD,50,21,78,90,53,128,,,,2017-20,329250
Honda CR-V 4WD,14,0,36,27,0,55,,,,2020,192967
Jeep Compass 4WD,41,24,58,49,32,66,,,,2017-20,766229
Nissan Rogue 4WD,53,23,82,40,15,65,,,,2019-20,356435
Chevrolet Equinox 4WD,30,0,62,39,6,72,,,,2020,145157
Nissan Rogue 2WD,52,23,82,71,39,103,,,,2019-20,291135
Chevrolet Trax 2WD,89,57,121,63,39,86,,,,2017-20,544469
Ford EcoSport 2WD,84,35,132,30,2,58,,,,2018-20,159334
Honda HR-V 2WD,63,29,96,37,15,59,,,,2017-20,342959
Jeep Compass 2WD,27,6,48,35,11,58,,,,2017-20,272762
Toyota RAV4 4WD,56,30,83,50,28,73,,,,2019-20,490630
Mitsubishi Outlander Sport 2WD,39,13,64,50,13,87,,,,2017-20,183247
Chevrolet Trax 4WD,59,26,91,19,4,35,,,,2017-20,331884
Subaru Forester,30,13,48,21,8,33,,,,2019-20,542936
Honda HR-V 4WD,31,14,48,19,6,33,,,,2017-20,551991
Toyota RAV4 hybrid 4WD,20,0,40,16,0,32,,,,2019-20,250526
Ford EcoSport 4WD,67,29,104,45,14,76,,,,2018-20,210660
Hyundai Santa Fe 2WD,17,0,39,76,31,121,,,,2019-20,206616
Chevrolet Equinox 2WD,49,17,80,77,34,120,,,,2020,201295
Ford Escape 4WD,43,1,85,54,12,97,,,,2020,118845
Toyota C-HR,2,0,7,19,4,34,,,,2018-20,335243
Hyundai Santa Fe 4WD,19,0,37,22,0,49,,,,2019-20,168181
Hyundai Tucson 4WD,40,7,73,36,8,64,,,,2019-20,197787
Hyundai Tucson 2WD,60,16,105,23,0,46,,,,2019-20,175072
Mitsubishi Outlander Sport 4WD,28,3,53,66,17,114,,,,2017-20,140265
Mitsubishi Outlander 2WD,36,11,61,60,22,97,,,,2017-20,174831
Jeep Renegade 4WD,49,25,72,46,27,66,,,,2017-20,584852
Toyota RAV4 2WD,35,13,56,30,11,48,,,,2019-20,395915
Mitsubishi Outlander 4WD,53,12,95,73,27,118,,,,2017-20,161301
Buick Encore 4WD,45,12,77,6,0,19,,,,2017-20,236824
Mercedes-Benz GLA Class 4WD,20,0,42,26,0,58,,,,2017-20,119781
Buick Encore 2WD,64,38,90,42,23,61,,,,2017-20,584285
Honda Civic hatchback,78,26,130,20,0,44,,,,2019-20,155440
Subaru Impreza sedan,46,18,74,37,10,64,,,,2017-20,232558
Subaru WRX,38,19,58,27,10,45,,,,2017-20,327376
Toyota Prius,45,23,67,51,30,72,,,,2017-20,494862
Chevrolet Sonic,107,50,164,82,38,127,,,,2017-20,190207
Hyundai Elantra,103,48,157,47,10,84,,,,2020,164258
Chevrolet Bolt ,8,0,19,19,0,41,,,,2017-20,200063
Toyota Corolla,58,31,86,60,30,90,,,,2020,288995
Toyota Prius Prime,23,0,45,50,20,80,,,,2017-20,225182
Kia Forte,111,62,160,96,55,138,,,,2019-20,271501
Honda Civic,49,29,69,47,28,65,,,,2019-20,645051
Honda Fit,53,25,81,28,10,47,,,,2017-20,382953
Kia Niro hybrid,43,15,71,28,4,51,,,,2017-20,226239
Chevrolet Spark,151,90,212,36,8,64,,,,2017-20,250809
Hyundai Accent,152,61,242,64,14,114,,,,2018-20,120942
Mitsubishi Mirage G4,205,107,303,54,12,97,,,,2017-20,131270
Kia Rio sedan,122,48,197,133,59,207,,,,2018-20,111909
Mitsubishi Mirage hatchback,183,93,273,30,0,62,,,,2017-20,130507
Subaru Outback,5,0,15,24,0,53,,,,2020,157098
Jeep Grand Cherokee 2WD,40,18,62,103,68,138,,,,2017-20,429423
Honda Pilot 4WD,13,0,30,20,1,39,,,,2019-20,270505
Chevrolet Traverse 4WD,6,0,13,21,5,38,,,,2018-20,391404
GMC Acadia 2WD,10,2,19,41,19,63,,,,2017-20,461774
Nissan Murano 2WD,4,0,12,42,11,74,,,,2018-20,202028
Subaru Ascent,6,0,16,16,0,33,,,,2019-20,244807
Buick Enclave 2WD,38,1,75,73,20,126,,,,2018-20,135275
Nissan Murano 4WD,22,0,43,38,9,68,,,,2018-20,234770
Jeep Grand Cherokee 4WD,12,6,17,44,33,54,,,,2017-20,1811150
Honda Pilot 2WD,7,0,20,33,0,67,,,,2019-20,120555
Kia Sorento 2WD,35,17,53,67,44,91,,,,2017-20,593563
Nissan Pathfinder 2WD,0,0,22,72,25,119,,,,2018-20,168710
GMC Acadia 4WD,11,3,20,52,29,74,,,,2017-20,492071
Dodge Journey 2WD,62,40,83,90,66,114,,,,2017-20,712378
Ford Explorer 4WD,22,0,47,38,10,66,,,,2020,191990
Chevrolet Traverse 2WD,30,9,50,27,10,44,,,,2018-20,457661
Buick Enclave 4WD,23,0,47,37,7,68,,,,2018-20,133976
Jeep Cherokee 2WD,55,34,77,59,38,79,,,,2017-20,581300
Volkswagen Atlas 4WD,20,0,52,19,0,40,,,,2019-20,133586
Nissan Pathfinder 4WD,25,0,53,40,11,69,,,,2018-20,214539
Ford Edge 2WD,49,2,96,33,6,60,,,,2019-20,150376
Chevrolet Blazer 2WD,23,0,49,93,32,154,,,,2019-20,103337
Kia Sorento 4WD,26,9,43,40,19,61,,,,2017-20,473775
Jeep Cherokee 4WD,34,22,46,37,25,49,,,,2017-20,1127807
Jeep Wrangler 4-door 4WD,39,25,54,56,39,73,,,,2018-20,902729
Ford Edge 4WD,6,0,15,22,3,40,,,,2019-20,260827
Jeep Wrangler 2-door 4WD,54,6,102,89,21,157,,,,2018-20,108507
Volvo XC60 4WD,5,0,16,16,0,39,,,,2018-20,147494
BMW X3 4WD,0,0,29,44,7,81,,,,2019-20,128584
Lexus RX 350 2WD,10,1,19,27,8,46,,,,2017-20,391225
Lexus RX 350 4WD,5,0,10,20,6,33,,,,2017-20,510725
Acura MDX 2WD,11,0,27,60,13,108,,,,2017-20,138978
Lexus NX 300 4WD,13,0,32,19,0,48,,,,2018-20,119160
Volvo XC90 4WD,4,0,13,49,11,87,,,,2018-20,185346
Acura RDX 4WD,6,0,18,40,0,82,,,,2019-20,130075
Lexus RX 450h 4WD,7,0,22,22,0,53,,,,2017-20,106809
Audi Q5 4WD,2,0,6,21,7,35,,,,2018-20,423310
Buick Envision 4WD,36,10,61,35,5,66,,,,2017-20,177242
BMW X5 4WD,6,0,19,40,3,76,,,,2019-20,121031
Buick Envision 2WD,51,13,88,39,11,68,,,,2017-20,185795
Porsche Macan,6,0,14,18,1,35,,,,2017-20,262964
Acura MDX 4WD,6,0,16,14,1,28,,,,2017-20,425582
Lexus NX 300 2WD,6,0,17,27,0,59,,,,2018-20,139035
Honda Accord hybrid,45,1,90,54,4,104,,,,2018-20,112221
Toyota Camry,48,38,59,50,40,61,,,,2018-20,2014523
Ford Fusion hybrid,25,0,56,54,12,97,,,,2019-20,143192
Kia Optima,80,45,115,134,86,182,,,,2019-20,263774
Chevrolet Malibu,91,73,108,66,52,80,,,,2017-20,1476351
Toyota Camry hybrid,19,0,38,66,22,109,,,,2018-20,165546
Ford Fusion,67,30,104,28,6,49,,,,2019-20,257689
Nissan Altima,113,75,151,94,62,126,,,,2019-20,451700
Volkswagen Jetta,47,24,69,45,24,66,,,,2019-20,410900
Honda Accord,46,34,57,44,32,55,,,,2018-20,1546159
Audi A4 2WD,7,0,21,22,0,48,,,,2017-20,111353
Acura TLX 2WD,31,0,64,57,15,98,,,,2018-20,140489
Lexus ES 350,0,0,29,37,3,72,,,,2019-20,128984
Audi A4 4WD,17,0,36,21,1,41,,,,2017-20,253968
Tesla Model 3 4WD,52,9,96,47,10,85,,,,2019-20,150131
Mercedes-Benz C-Class sedan 2WD,28,5,51,57,22,92,,,,2017-20,239682
Mercedes-Benz C-Class sedan 4WD,9,0,21,26,0,53,,,,2017-20,178256
Mercedes-Benz CLA-Class 2WD,64,11,117,46,3,89,,,,2017-20,103631
Tesla Model 3 2WD,15,0,33,21,0,43,,,,2019-20,155635
Ford Mustang GT coupe,77,45,109,59,32,86,,,,2017-20,269419
Ford Mustang coupe,59,31,86,66,35,98,,,,2017-20,287448
Ford Mustang convertible,97,41,153,46,7,84,,,,2017-20,137742
Ram 2500 Mega Cab 4WD,65,22,108,145,70,220,,,,2017-20,109656
Ford F-250 SuperCab 4WD,22,2,41,95,52,139,,,,2017-20,181166
Ford F-350 Crew Cab 4WD,29,16,42,147,118,176,,,,2017-20,630989
Ram 3500 Crew Cab long bed 4WD,37,16,57,189,140,239,,,,2017-20,278118
Ram 2500 Crew Cab long bed 4WD,42,7,76,83,42,125,,,,2017-20,160364
Ford F-250 Crew Cab 4WD,32,22,42,120,102,139,,,,2017-20,1257411
Ram 2500 Crew Cab short bed 4WD,33,21,46,122,99,146,,,,2017-20,775206
Chrysler Pacifica 2WD,20,10,29,41,28,55,,,,2017-20,1187665
Kia Sedona,53,20,87,88,42,135,,,,2017-20,221375
Toyota Sienna 2WD,5,0,13,53,24,81,,,,2018-20,296469
Honda Odyssey,6,0,13,38,22,54,,,,2018-20,675226
Dodge Grand Caravan,48,34,62,52,38,66,,,,2017-20,1240412
Chevrolet Suburban 1500 2WD,54,9,99,48,13,83,,,,2017-20,165714
Chevrolet Suburban 1500 4WD,21,5,37,49,23,74,,,,2017-20,352961
GMC Yukon XL 1500 4WD,11,0,28,53,20,87,,,,2017-20,243543
Cadillac Escalade ESV 4WD,27,0,67,69,15,123,,,,2017-20,102948
